threads,method,score_ns_per_op,error_ns_per_op,gc_alloc_bytes_per_op
1,noObservation,1.0985314342,0.0036549942,0.0000113584
1,noLatencyObserverPath,0.5216502216,0.0092208469,0.0000053839
1,generatorOnlyLatencyObserverPath,2.9130839922,0.0381194600,0.0010248854
1,fullLatencyObserverPath,8.0745051731,0.0388149917,0.0072893898
4,noObservation,1.1270491898,0.0019061438,0.0000060003
4,noLatencyObserverPath,0.5286805567,0.0038448167,0.0000027981
4,generatorOnlyLatencyObserverPath,3.1216879150,0.0276992974,0.0003557579
4,fullLatencyObserverPath,8.9560439433,0.1497257439,0.0026934705
16,noObservation,1.6393719231,0.0196153414,0.0000042786
16,noLatencyObserverPath,0.9813840515,0.0117701509,0.0000025645
16,generatorOnlyLatencyObserverPath,5.5752615531,0.1015573120,0.0002990636
16,fullLatencyObserverPath,15.0452786458,0.2409647876,0.0022186114
