run_id,rate_per_second,warmup_seconds,measurement_seconds,max_generator_lag_p99_millis,mode,repeat,processed_per_second,processed_yield,shed_ratio,generator_missed,run_peak_in_flight,last_minus_first_decile_mean,generator_lag_p99_micros
95a4e7a5-c1a6-4f23-8f1d-722fa3866bf5,340000,5,10,5,FULL,1,339999.40,0.9999982353,0,6,65536,-142.5520751,289.280
95a4e7a5-c1a6-4f23-8f1d-722fa3866bf5,340000,5,10,5,FULL,2,339835.20,0.9999982353,0,6,65536,433.5905102,602.112
95a4e7a5-c1a6-4f23-8f1d-722fa3866bf5,340000,5,10,5,NO_LATENCY,1,339999.60,0.9999973529,0,9,65536,-93.6472167,
95a4e7a5-c1a6-4f23-8f1d-722fa3866bf5,340000,5,10,5,NO_LATENCY,2,339999.50,0.9999982353,0,6,65536,-8.9811261,
8bbf0f50-cc8f-4918-976c-a1a67a7db281,360000,10,20,20,FULL,1,359999.70,0.9999990278,0,7,65536,-2428.2448451,576.512
8bbf0f50-cc8f-4918-976c-a1a67a7db281,360000,10,20,20,FULL,2,359999.75,0.9999991667,0,6,65536,-228.6833825,574.464
8bbf0f50-cc8f-4918-976c-a1a67a7db281,360000,10,20,20,FULL,3,360000.75,0.9999977778,0,16,65536,-210.0487108,274.944
8bbf0f50-cc8f-4918-976c-a1a67a7db281,360000,10,20,20,NO_LATENCY,1,360005.05,0.9999991667,0,6,65536,-113.8439898,
8bbf0f50-cc8f-4918-976c-a1a67a7db281,360000,10,20,20,NO_LATENCY,2,359970.35,0.9999988889,0,8,65536,2689.9434972,
8bbf0f50-cc8f-4918-976c-a1a67a7db281,360000,10,20,20,NO_LATENCY,3,360005.75,0.9999990278,0,7,65536,-559.4501739,
8c74cff7-81d6-4db6-84ad-1faede45cd1f,380000,10,20,20,FULL,1,336555.60,0.8855272368,0.1144713158,11,65536,118.0597580,602.112
8c74cff7-81d6-4db6-84ad-1faede45cd1f,380000,10,20,20,FULL,2,311621.00,0.8200568421,0.1799418421,10,65536,-48.0960828,773.120
8c74cff7-81d6-4db6-84ad-1faede45cd1f,380000,10,20,20,FULL,3,286105.90,0.7529081579,0.2470907895,8,65536,62.8885125,1785.856
8c74cff7-81d6-4db6-84ad-1faede45cd1f,380000,10,20,20,NO_LATENCY,1,372002.15,0.9760459211,0.0239530263,8,65536,-24857.4500977,
8c74cff7-81d6-4db6-84ad-1faede45cd1f,380000,10,20,20,NO_LATENCY,2,342355.95,0.9009259211,0.0990731579,7,65536,-21.5384565,
8c74cff7-81d6-4db6-84ad-1faede45cd1f,380000,10,20,20,NO_LATENCY,3,310439.75,0.8169473684,0.1830511842,11,65536,-103.9674797,
