benchmark,pair,sequence,baseline_throughput_ops_s,candidate_throughput_ops_s,baseline_alloc_B_op,candidate_alloc_B_op
pipeline,1,BC,869626.203,854380.494,7152.025,7080.025
pipeline,2,CB,904386.396,908801.721,7168.024,7064.024
pipeline,3,BC,855772.789,839302.438,7152.025,7080.025
pipeline,4,CB,857105.468,942818.568,7168.025,7064.023
pipeline,5,BC,849058.422,916280.986,7008.025,7048.024
pipeline,6,CB,899738.552,863100.843,7168.024,6928.024
process,1,BC,977747.532,991242.124,5192.005,5120.004
process,2,CB,998883.658,972758.553,5208.004,5096.005
process,3,BC,943760.933,991231.741,5184.005,5080.004
process,4,CB,1013978.380,991341.252,5184.004,5120.004
process,5,BC,915639.230,938937.709,5192.005,5096.005
process,6,CB,973145.694,948339.905,5184.005,5120.005
