pair,order,backend,baseline_ops_s,candidate_ops_s,candidate_over_baseline,gain_percent
01,AB,mongo,21357.209975687179,21241.610820199319,0.994587347522,-0.541265248
01,AB,redis,26540.289768201070,26887.952193959452,1.013099420873,1.309942087
02,BA,mongo,21240.797408493556,21486.960708096518,1.011589174119,1.158917412
02,BA,redis,26709.155668747950,27606.563552853477,1.033599260689,3.359926069
03,BA,mongo,21333.906456051962,21459.381395453136,1.005881479778,0.588147978
03,BA,redis,26478.928507599532,27423.739786986116,1.035681628096,3.568162810
04,AB,mongo,21334.029490718651,21590.439632799284,1.012018833207,1.201883321
04,AB,redis,26694.397709590674,27485.539324593392,1.029636990638,2.963699064
05,BA,mongo,21410.060489781335,21472.562249271159,1.002919270570,0.291927057
05,BA,redis,26741.020449127845,27338.472162592225,1.022342143397,2.234214340
06,AB,mongo,21432.630356768856,21586.574170814918,1.007182684136,0.718268414
06,AB,redis,26783.631441341102,27202.074720975073,1.015623097284,1.562309728
07,AB,mongo,21370.255616159320,21589.378287653435,1.010253628942,1.025362894
07,AB,redis,26779.014386648883,27437.219621802153,1.024579143416,2.457914342
08,BA,mongo,21497.109926992736,21642.304591534743,1.006754148117,0.675414812
08,BA,redis,26777.013741583651,27326.343500021616,1.020514974662,2.051497466
