profile,backend,repeat,throughput_ops_s,alloc_rate_norm_b_op,alloc_rate_mb_s,gc_count,gc_time_ms,profile_samples,score_usage
cpu,mongo,1,20190.419185567,,,,,8336,diagnostic-only
cpu,mongo,2,18825.665514820,,,,,8665,diagnostic-only
cpu,redis,1,25154.664334287,,,,,229,diagnostic-only-under-sampled
cpu,redis,2,23672.216220615,,,,,6383,diagnostic-only-stack-truncation
gc,mongo,1,19595.256823552,11965.314913233,221.174365699,10,30,,allocation-evidence
gc,mongo,2,19767.748895924,11938.285334399,222.842503492,10,38,,allocation-evidence
gc,redis,1,25504.987701039,4321.265513959,100.479252877,11,36,,allocation-evidence
gc,redis,2,22276.386550097,4342.390602805,88.459063401,9,34,,allocation-evidence
alloc,mongo,1,19367.801462930,,,,,30707,allocation-attribution-only
alloc,redis,1,20813.199318832,,,,,29109,allocation-attribution-only
